t,x,y,lum
61.91666667,-78.64929893,-67.07187856,189.972375
61.95833333,-78.42209772,-66.91150511,189.3995394
62,-78.1312125,-66.51376908,191.0589681
62.04166667,-77.97604418,-66.06104503,191.7605801
62.08333333,-77.88231237,-65.85980828,191.3719335
62.125,-77.8325381,-65.47126234,191.5819465
62.16666667,-77.76562603,-65.05321458,191.1232821
62.20833333,-77.69593887,-64.83724244,191.2799272
62.25,-77.59939214,-64.44954278,191.0528381
62.29166667,-77.65982826,-64.06404127,190.3228275
62.33333333,-77.60511032,-63.91556596,189.0506215
62.375,-77.56302315,-63.64528162,189.8949586
62.41666667,-77.50713184,-63.24579664,190.1482115
62.45833333,-77.58766981,-63.01379947,190.2301125
62.5,-77.51854525,-62.74913853,189.4786063
62.54166667,-77.37297108,-62.26081573,189.8606431
62.58333333,-77.11002448,-61.97976868,188.9342716
62.625,-77.04572731,-61.67427513,190.1603471
62.66666667,-76.94864592,-61.22195849,189.3095426
62.70833333,-76.92329122,-61.00306979,189.2237968
62.75,-76.85992481,-60.78248734,188.7173924
62.79166667,-76.80597911,-60.29969224,188.9486551
62.83333333,-76.79626275,-60.01995327,188.7219778
62.875,-76.77799995,-59.73511104,189.4827587
62.91666667,-76.65728832,-59.18145997,188.0713734
62.95833333,-76.66298322,-58.92993085,188.9404427
63,-76.67659141,-58.58376577,187.5643892
63.04166667,-76.60196357,-58.16240236,187.6004601
63.08333333,-76.64431006,-57.89922077,187.6433578
63.125,-76.66031222,-57.55709197,186.9211333
63.16666667,-76.6282691,-57.1841529,187.1280128
63.20833333,-76.71522605,-56.89421052,187.0513994
63.25,-76.62180958,-56.26745257,185.9432857
63.29166667,-76.76506158,-55.99634785,185.8219617
63.33333333,-76.72589094,-55.68957056,184.8207873
63.375,-76.73018816,-55.25005484,183.8885955
63.41666667,-76.79932201,-54.98263675,184.1668671
63.45833333,-76.80452389,-54.75235027,183.5255191
63.5,-76.78721635,-54.2228787,182.5941266
63.54166667,-76.84384276,-53.96145031,182.5526972
63.58333333,-76.78288137,-53.38462562,181.4730918
63.625,-76.86211701,-53.01994233,181.7348275
63.66666667,-76.83283295,-52.73086895,181.4994522
63.70833333,-76.83766852,-52.24583926,181.6201994
63.75,-76.9017724,-52.00734157,181.5220825
63.79166667,-76.89866872,-51.82971935,180.5792508
63.83333333,-76.87216202,-51.33680512,181.0526246
63.875,-76.92150428,-51.04735562,181.6641079
63.91666667,-76.90803073,-50.8228097,180.2871274
63.95833333,-76.89844452,-50.28934942,181.1258328
64,-76.93625418,-50.03059533,180.7877025
64.04166667,-76.9353701,-49.84652001,179.7298006
64.08333333,-76.90810209,-49.32950607,180.7519401
64.125,-76.93551906,-49.02414717,181.0951937
64.16666667,-76.94008669,-48.85709317,179.9983924
64.20833333,-76.92717172,-48.35577284,181.0879464
64.25,-76.95314775,-48.01906618,180.840388
64.29166667,-76.96771443,-47.80545475,181.1271329
64.33333333,-76.96979235,-47.19965401,182.0012952
64.375,-76.97380892,-46.96676383,181.6903873
64.41666667,-76.98141343,-46.66579004,181.9800127
64.45833333,-76.97904567,-46.25485901,182.5272587
64.5,-76.99695253,-46.00229836,182.8492476
64.54166667,-77.04002131,-45.76930761,183.0405791
