t,x,y,lum
16.66666667,23.43716279,-115.8597123,195.2688449
16.70833333,24.10231643,-115.757019,194.9380545
16.75,24.73400629,-115.5379822,195.100231
16.79166667,25.13252252,-115.2942664,195.2006538
16.83333333,25.82221692,-115.16412,194.8498381
16.875,26.12108676,-115.0910104,194.7769082
16.91666667,26.80121042,-114.9862914,194.3146698
16.95833333,27.18239103,-114.7445297,194.6087739
17,27.79574761,-114.4956285,194.3328413
17.04166667,28.12308974,-114.2808627,194.2698903
17.08333333,28.67396353,-114.1139653,194.4563365
17.125,29.06552698,-114.0184171,194.6742095
17.16666667,29.39535135,-113.7638334,194.2510538
17.20833333,30.07885984,-113.290746,194.1927564
17.25,30.4953612,-113.0610061,194.4535506
17.29166667,31.03881071,-112.4866877,193.6514419
17.33333333,31.25620157,-112.1777561,194.0729199
17.375,31.89984218,-111.9444471,194.0594063
17.41666667,32.15516163,-111.4837493,194.2877994
17.45833333,32.58693928,-111.1324875,193.6193376
17.5,33.10566897,-110.8539952,194.4048365
17.54166667,33.36691128,-110.287309,194.0043019
17.58333333,33.70144119,-110.1502531,194.092246
17.625,33.75282952,-110.161154,193.8157714
17.66666667,33.81978206,-110.1341586,193.8495143
17.70833333,33.81552238,-110.1763967,193.8091013
17.75,33.83457885,-110.1492388,193.5491709
17.79166667,33.81359047,-110.1729928,193.5341804
17.83333333,33.82691465,-110.1660056,193.483038
17.875,33.8661278,-110.1654369,193.2861804
17.91666667,33.88239703,-110.145143,193.174653
17.95833333,33.9061699,-110.1505383,193.0345849
18,33.91565261,-110.1494422,192.877283
18.04166667,33.92983664,-110.158264,193.3522516
18.08333333,33.90906533,-110.1536687,193.0419874
18.125,33.95017681,-110.1378924,193.2481226
18.16666667,33.96067876,-110.1249217,193.0932184
18.20833333,33.99712876,-110.0894176,193.3525032
18.25,34.04885405,-110.0178062,193.3452627
18.29166667,34.14707288,-109.7929915,193.3842247
18.33333333,34.28409402,-109.3078226,193.8294953
18.375,34.63114017,-109.0843356,193.8199586
18.41666667,35.00295284,-108.8120859,193.8471111
18.45833333,35.181581,-108.3690213,194.0614299
18.5,35.44958725,-108.0954297,194.675115
18.54166667,35.92740924,-107.8331882,194.0724696
18.58333333,36.17039382,-107.2769276,194.3046435
18.625,36.48870398,-106.8075842,194.2825886
18.66666667,36.98262272,-106.2104884,194.1639936
18.70833333,37.15528414,-106.0156714,194.5104032
18.75,37.50096539,-105.3934218,193.5740095
18.79166667,37.92933134,-105.0342523,194.693246
18.83333333,38.12653695,-104.3372782,194.2835651
18.875,38.31582144,-103.9032313,195.0504127
18.91666667,38.909448,-103.1703394,195.031073
18.95833333,39.13316223,-102.7820258,194.6497767
19,39.31251309,-102.2150249,194.1482444
19.04166667,39.77049169,-101.8709922,195.4603734
19.08333333,40.06371097,-101.1909119,194.6478317
19.125,40.20867817,-100.5177766,194.2996372
19.16666667,40.48291816,-100.0178788,195.1528971
19.20833333,40.8826363,-99.31074851,195.2555828
19.25,41.0839913,-98.9796933,195.1936254
19.29166667,41.3138738,-98.20889261,195.3597048
19.33333333,41.79962328,-97.42043415,195.8379082
19.375,42.04978824,-96.95905409,195.0692083
19.41666667,42.20813742,-96.15706136,195.0813449
19.45833333,42.50139817,-95.48108112,195.272776
19.5,42.85882608,-94.87497596,195.0979228
19.54166667,43.07067519,-94.0966299,194.7365409
19.58333333,43.21486443,-93.35547989,195.4721943
19.625,43.47058308,-92.89482876,195.5697572
19.66666667,43.88654341,-92.12616193,195.6180958
19.70833333,44.04682057,-91.24040082,195.1379686
19.75,44.1318838,-90.70317281,195.4082184
19.79166667,44.23180747,-90.08686064,196.2562444
19.83333333,44.41739403,-89.29537608,196.1800728
